columnName,columnNature
PtRace_term,nominal
MotherAge,numerical
Parity,numerical
Gravida,numerical
MaternalDM_term,binary
MaternalHT_term,binary
MaternalEclampsia_term,binary
MaternalChorAm_term,binary
MaternalAnemia_term,binary
MaternalAbPlacenta_term,binary
MaternalBleedPlacenta_term,binary
MaternalCordProlapse_term,binary
AtSteroid_term,binary
AtSteroid Dose_term,numerical
Intrapartum Antibiotic_term,binary
BW,numerical
GA,numerical
BirthGrowthStatus_term,nominal
Sex_term,nominal
BirthMultiplicity_term,numerical
BirthFinalModeDeliver_term,nominal
Apgar1Min,numerical
Apgar5Min,numerical
InitResus_CC_term,binary
InitResus_BMV_term,binary
InitResus_O2_term,binary
InitResus_CPAP_term,binary
InitResus_Adren_term,binary
InitResus_ETV_term,binary
BirthAdmissionTemp,numerical
PlasticWrapAtBirth_woDry_term,
PlasticWrapAtBirth_term,
RespSpt_NitrixOxideDur,numerical
RespSpt_HFOVDone,binary
RespSpt_ConvVentDone,binary
RespSpt_NitrixOxideDone,binary
RespSpt_CPAPDone,binary
RespSpt_HFOVDur,numerical
RespSpt_HFNCDone,binary
RespSpt_term,binary
RespSpt_HFNCDur,
RespSpt_ConvVentDur,numerical
RespSpt_CPAPDur,numerical
Surfactant_term,binary
SurfactantDuration,ordinal
TPN,binary
CongPneumonia,binary
PIE,binary
TTN,binary
PulmHaemorrhage,binary
NosoPneumonia,binary
MAS,binary
RDS,binary
Pneumothorax,binary
PneumothoraxDev,nominal
O2Week36,binary
O2Day28,binary
PPHN,binary
PDAPharmaClosure,binary
PDAECHODone,binary
PDALigation,binary
PDA,binary
NEC,binary
NECBefAdm,binary
NECSurgicalRx,binary
ROPScreen,nominal
ROPStage,numerical
ROPBefAdm,binary
ROPVitrec,binary
ROPCryoTy,binary
ROPLaserTy,binary
ROPPLUS,binary
IVHGrade,
IVHShunt,binary
CVL,binary
DiagCLABSI,binary
CVLDur,numerical
Sepsis,binary
Meningitis,binary
Syndrome,
MajorCongAnom,binary
DischargeWt,numerical
DischargeGrowthSt,nominal
DurationHospStayDay,numerical
Outcome,binary
Version,numerical
PtCaseType_term,nominal
LivebirthLCM,
PatientV3ID,numerical
DateAdmission,nominal
BirthBabyStatus_term,nominal
LCMPDiag,
SDPCode,numerical
SDP_Name,nominal
AdmitNeonatalWard_term,binary
